hcp_id,first_name,last_name,specialty,tier,decile,city,state,zone,hospital,years_practicing,preferred_contact,npi_like_id
HCP-0101,Chaitaly,Setty,Cardiologist,A,1,Chennai,Tamil Nadu,South,,4,Hospital,MCI-10101
HCP-0102,Yashasvi,Sani,Diabetologist,B,4,Delhi,Delhi,North,Artemis Hospital,28,Phone,MCI-10102
HCP-0103,Hardik,Contractor,GP,B,7,Jaipur,Rajasthan,North,Manipal Hospital,36,Clinic,MCI-10103
HCP-0104,Tanveer,Sani,Gastroenterologist,C,8,Bengaluru,Karnataka,South,Aster Medcity,27,Hospital,MCI-10104
HCP-0105,Siya,Kari,Diabetologist,B,4,Lucknow,Uttar Pradesh,North,,9,Hospital,MCI-10105
HCP-0106,Odika,Nori,Pulmonist,C,8,Bhopal,Madhya Pradesh,West,Fortis Hospital,30,Clinic,MCI-10106
HCP-0107,Sudiksha,Rastogi,Pulmonist,C,7,Bengaluru,Karnataka,South,Medanta Hospital,36,Clinic,MCI-10107
HCP-0108,Ojasvi,Chandran,Pulmonist,B,6,Bengaluru,Karnataka,South,,3,Hospital,MCI-10108
HCP-0109,Dhriti,Sane,Consultant_Physician,B,7,Jaipur,Rajasthan,North,Lilavati Hospital,2,Phone,MCI-10109
HCP-0110,Dhriti,Kumer,Gastroenterologist,A,3,Hyderabad,Telangana,South,,32,Hospital,MCI-10110
HCP-0111,Kavya,Dua,GP,A,2,Lucknow,Uttar Pradesh,North,Artemis Hospital,7,Hospital,MCI-10111
HCP-0112,Urvi,Bhavsar,Cardiologist,B,3,Mumbai,Maharashtra,West,Medanta Hospital,21,Clinic,MCI-10112
HCP-0113,Gavin,Chada,Gastroenterologist,A,2,Chennai,Tamil Nadu,South,Artemis Hospital,40,Hospital,MCI-10113
HCP-0114,Girik,Sankaran,Cardiologist,C,7,Mumbai,Maharashtra,West,,17,Clinic,MCI-10114
HCP-0115,Gopal,Pradhan,GP,B,7,Kolkata,West Bengal,East,,34,Clinic,MCI-10115
HCP-0116,Kalpit,Bhasin,GP,B,4,Kochi,Kerala,South,City Hospital,18,Clinic,MCI-10116
HCP-0117,Forum,Das,Gastroenterologist,B,5,Pune,Maharashtra,West,Apollo Hospital,28,Phone,MCI-10117
HCP-0118,Nirja,Pandya,Pulmonist,C,9,Bengaluru,Karnataka,South,Sunrise Clinic,35,Hospital,MCI-10118
HCP-0119,Pallavi,Behl,Cardiologist,B,5,Chennai,Tamil Nadu,South,City Hospital,2,Clinic,MCI-10119
HCP-0120,Bhavna,Muni,Consultant_Physician,C,7,Bengaluru,Karnataka,South,AIIMS,33,Clinic,MCI-10120
HCP-0121,Indira,Chawla,Diabetologist,B,4,Mumbai,Maharashtra,West,City Hospital,31,Phone,MCI-10121
HCP-0122,Yashica,Kala,GP,A,3,Ahmedabad,Gujarat,West,,40,Hospital,MCI-10122
HCP-0123,Mohammed,Subramaniam,Consultant_Physician,C,8,Jaipur,Rajasthan,North,,7,WhatsApp,MCI-10123
HCP-0124,Udarsh,Chokshi,Cardiologist,C,8,Kolkata,West Bengal,East,Sunrise Clinic,40,Hospital,MCI-10124
HCP-0125,Inaya,Pillai,Cardiologist,B,7,Chennai,Tamil Nadu,South,Kokilaben Hospital,20,Phone,MCI-10125
HCP-0126,Ishwar,Mallick,Cardiologist,B,6,Pune,Maharashtra,West,Narayana Health,37,Clinic,MCI-10126
HCP-0127,Upkaar,Sanghvi,Diabetologist,C,9,Bhopal,Madhya Pradesh,West,,5,Clinic,MCI-10127
HCP-0128,Atharv,Loke,Consultant_Physician,A,2,Lucknow,Uttar Pradesh,North,Narayana Health,7,Phone,MCI-10128
HCP-0129,Ayush,Gole,Consultant_Physician,B,5,Lucknow,Uttar Pradesh,North,Global Hospital,32,WhatsApp,MCI-10129
HCP-0130,Anjali,More,Cardiologist,B,4,Chennai,Tamil Nadu,South,Fortis Hospital,31,WhatsApp,MCI-10130
HCP-0131,Harinakshi,Panchal,Gastroenterologist,C,8,Lucknow,Uttar Pradesh,North,,22,Phone,MCI-10131
HCP-0132,Abeer,Golla,Gastroenterologist,B,8,Bengaluru,Karnataka,South,AIIMS,31,Clinic,MCI-10132
HCP-0133,Luke,Rattan,Gastroenterologist,C,8,Pune,Maharashtra,West,Apollo Hospital,25,Phone,MCI-10133
HCP-0134,Ekaraj,Dhar,GP,A,1,Hyderabad,Telangana,South,,30,Clinic,MCI-10134
HCP-0135,Azaan,Chand,GP,A,1,Hyderabad,Telangana,South,Sunrise Clinic,5,Clinic,MCI-10135
HCP-0136,Tanveer,Puri,Diabetologist,C,8,Mumbai,Maharashtra,West,,7,Hospital,MCI-10136
HCP-0137,Oni,Setty,Diabetologist,C,8,Jaipur,Rajasthan,North,Manipal Hospital,10,Hospital,MCI-10137
HCP-0138,Harita,Dugar,GP,B,7,Kolkata,West Bengal,East,Wellness Clinic,35,Hospital,MCI-10138
HCP-0139,Kala,Muni,Gastroenterologist,C,9,Bengaluru,Karnataka,South,Max Healthcare,7,Hospital,MCI-10139
HCP-0140,Ekta,Chad,Pulmonist,C,10,Delhi,Delhi,North,Global Hospital,9,Clinic,MCI-10140
HCP-0141,Charles,Dugal,Diabetologist,B,4,Kolkata,West Bengal,East,Narayana Health,25,Hospital,MCI-10141
HCP-0142,Nakul,Bawa,GP,B,6,Mumbai,Maharashtra,West,Wellness Clinic,20,WhatsApp,MCI-10142
HCP-0143,Finn,Magar,Cardiologist,C,8,Ahmedabad,Gujarat,West,,26,Phone,MCI-10143
HCP-0144,Saanvi,Samra,Diabetologist,C,9,Delhi,Delhi,North,Wellness Clinic,10,Clinic,MCI-10144
HCP-0145,Vedika,Sathe,GP,A,1,Pune,Maharashtra,West,AIIMS,27,WhatsApp,MCI-10145
HCP-0146,Oeshi,Mahajan,Pulmonist,C,7,Mumbai,Maharashtra,West,Artemis Hospital,24,Phone,MCI-10146
HCP-0147,Tanveer,Vala,Diabetologist,B,4,Mumbai,Maharashtra,West,City Hospital,8,Hospital,MCI-10147
HCP-0148,Ishaan,Pai,Consultant_Physician,B,6,Chennai,Tamil Nadu,South,AIIMS,36,Phone,MCI-10148
HCP-0149,Qushi,Choudhry,Consultant_Physician,A,3,Kochi,Kerala,South,Sunrise Clinic,12,WhatsApp,MCI-10149
HCP-0150,Bhanumati,Sur,Diabetologist,B,4,Pune,Maharashtra,West,AIIMS,13,Clinic,MCI-10150
HCP-0151,Darika,Bath,GP,C,8,Delhi,Delhi,North,Global Hospital,9,Hospital,MCI-10151
HCP-0152,Thomas,Rana,Pulmonist,C,7,Delhi,Delhi,North,Wellness Clinic,17,Hospital,MCI-10152
HCP-0153,Christopher,Amble,Diabetologist,A,2,Hyderabad,Telangana,South,,2,WhatsApp,MCI-10153
HCP-0154,Samarth,Mitra,GP,B,6,Bhopal,Madhya Pradesh,West,Manipal Hospital,28,WhatsApp,MCI-10154
HCP-0155,Siddharth,Devan,GP,B,5,Hyderabad,Telangana,South,Artemis Hospital,34,WhatsApp,MCI-10155
HCP-0156,Aadhya,Mann,GP,A,2,Chennai,Tamil Nadu,South,AIIMS,39,Hospital,MCI-10156
HCP-0157,Falak,Dar,Diabetologist,C,10,Kochi,Kerala,South,,19,Hospital,MCI-10157
HCP-0158,Abhimanyu,Tank,Diabetologist,C,8,Bengaluru,Karnataka,South,Narayana Health,6,Hospital,MCI-10158
HCP-0159,Qushi,Gill,Gastroenterologist,A,3,Ahmedabad,Gujarat,West,Manipal Hospital,11,Clinic,MCI-10159
HCP-0160,Kai,Rai,Gastroenterologist,B,8,Ahmedabad,Gujarat,West,Care Clinic,8,Clinic,MCI-10160
HCP-0161,Victor,Tella,Cardiologist,B,5,Pune,Maharashtra,West,Care Clinic,19,Clinic,MCI-10161
HCP-0162,Irya,Bora,Diabetologist,C,8,Mumbai,Maharashtra,West,Medanta Hospital,36,Clinic,MCI-10162
HCP-0163,Mekhala,Basak,Pulmonist,A,1,Pune,Maharashtra,West,,30,Phone,MCI-10163
HCP-0164,Rajata,Bahl,Gastroenterologist,B,6,Mumbai,Maharashtra,West,Aster Medcity,28,Phone,MCI-10164
HCP-0165,Tripti,Brahmbhatt,GP,B,4,Chennai,Tamil Nadu,South,Care Clinic,7,Clinic,MCI-10165
HCP-0166,Dhriti,Sanghvi,Consultant_Physician,A,1,Jaipur,Rajasthan,North,City Hospital,24,WhatsApp,MCI-10166
HCP-0167,Nidhi,Sahni,Diabetologist,B,7,Pune,Maharashtra,West,Global Hospital,38,Clinic,MCI-10167
HCP-0168,Bimala,Contractor,Diabetologist,A,1,Chennai,Tamil Nadu,South,Kokilaben Hospital,29,Hospital,MCI-10168
HCP-0169,Nidhi,Bail,Gastroenterologist,A,3,Chennai,Tamil Nadu,South,,35,Clinic,MCI-10169
HCP-0170,Ekta,Garg,Diabetologist,C,9,Mumbai,Maharashtra,West,Medanta Hospital,6,Clinic,MCI-10170
HCP-0171,Triveni,Pathak,Diabetologist,A,1,Mumbai,Maharashtra,West,Sunrise Clinic,30,Hospital,MCI-10171
HCP-0172,Gaurang,Sarkar,Cardiologist,C,8,Kochi,Kerala,South,,3,Phone,MCI-10172
HCP-0173,Hitesh,Kohli,Diabetologist,C,8,Lucknow,Uttar Pradesh,North,,22,Hospital,MCI-10173
HCP-0174,Rajata,Rattan,Consultant_Physician,B,8,Chennai,Tamil Nadu,South,City Hospital,15,Hospital,MCI-10174
HCP-0175,Farhan,Randhawa,GP,B,6,Kochi,Kerala,South,,30,Clinic,MCI-10175
HCP-0176,Dayita,Nori,Diabetologist,B,5,Jaipur,Rajasthan,North,Max Healthcare,35,WhatsApp,MCI-10176
HCP-0177,Timothy,Nath,Consultant_Physician,C,9,Kolkata,West Bengal,East,Narayana Health,39,Phone,MCI-10177
HCP-0178,Om,Bose,Diabetologist,B,8,Lucknow,Uttar Pradesh,North,,23,WhatsApp,MCI-10178
HCP-0179,Yashvi,Comar,Consultant_Physician,B,6,Mumbai,Maharashtra,West,Care Clinic,16,Clinic,MCI-10179
HCP-0180,Yashvi,Hari,GP,C,10,Ahmedabad,Gujarat,West,Manipal Hospital,40,Hospital,MCI-10180
HCP-0181,Ikshita,Panchal,Consultant_Physician,C,8,Bengaluru,Karnataka,South,,17,Clinic,MCI-10181
HCP-0182,Manbir,Keer,GP,A,3,Kolkata,West Bengal,East,Narayana Health,11,Phone,MCI-10182
HCP-0183,Harshil,Dhingra,GP,C,9,Lucknow,Uttar Pradesh,North,Max Healthcare,13,Clinic,MCI-10183
HCP-0184,Aahana,Hora,Consultant_Physician,A,2,Delhi,Delhi,North,Apollo Hospital,9,Hospital,MCI-10184
HCP-0185,Oscar,Dua,Diabetologist,A,2,Hyderabad,Telangana,South,,17,Phone,MCI-10185
HCP-0186,Faqid,Goel,Diabetologist,B,7,Bengaluru,Karnataka,South,,11,Clinic,MCI-10186
HCP-0187,Wakeeta,Shetty,Pulmonist,B,7,Delhi,Delhi,North,Care Clinic,8,Clinic,MCI-10187
HCP-0188,Saumya,Naidu,Diabetologist,B,4,Hyderabad,Telangana,South,,39,Hospital,MCI-10188
HCP-0189,Diya,Dora,Diabetologist,C,8,Bengaluru,Karnataka,South,,27,Hospital,MCI-10189
HCP-0190,Ria,Bir,Diabetologist,B,7,Hyderabad,Telangana,South,,22,Hospital,MCI-10190
HCP-0191,Upasna,Sathe,Cardiologist,B,5,Mumbai,Maharashtra,West,Aster Medcity,17,Hospital,MCI-10191
HCP-0192,Chavvi,Maharaj,GP,B,4,Delhi,Delhi,North,Wellness Clinic,14,WhatsApp,MCI-10192
HCP-0193,Daksh,Pandey,Cardiologist,C,8,Pune,Maharashtra,West,City Hospital,31,Hospital,MCI-10193
HCP-0194,Yashica,Borah,Cardiologist,C,7,Delhi,Delhi,North,Manipal Hospital,20,Hospital,MCI-10194
HCP-0195,Dayita,Shenoy,Cardiologist,B,5,Chennai,Tamil Nadu,South,Care Clinic,30,Clinic,MCI-10195
HCP-0196,Siya,Barad,GP,A,2,Kolkata,West Bengal,East,Manipal Hospital,38,WhatsApp,MCI-10196
HCP-0197,Dakshesh,Pillay,Diabetologist,C,7,Pune,Maharashtra,West,Manipal Hospital,40,Clinic,MCI-10197
HCP-0198,Bhavini,Bose,Gastroenterologist,B,4,Delhi,Delhi,North,Narayana Health,13,WhatsApp,MCI-10198
HCP-0199,Gautam,Tripathi,Cardiologist,B,8,Chennai,Tamil Nadu,South,Manipal Hospital,9,Hospital,MCI-10199
HCP-0200,Leena,Shere,Diabetologist,C,9,Pune,Maharashtra,West,,19,Phone,MCI-10200
HCP-0201,Benjamin,Sengupta,Consultant_Physician,B,6,Mumbai,Maharashtra,West,Aster Medcity,24,Hospital,MCI-10201
HCP-0202,Raghav,Nagy,GP,B,5,Pune,Maharashtra,West,Fortis Hospital,27,WhatsApp,MCI-10202
HCP-0203,Vamakshi,Thaker,Pulmonist,B,5,Delhi,Delhi,North,,7,Clinic,MCI-10203
HCP-0204,Matthew,Bhatia,Consultant_Physician,B,6,Delhi,Delhi,North,,31,Hospital,MCI-10204
HCP-0205,Shravya,Chauhan,Pulmonist,C,8,Lucknow,Uttar Pradesh,North,,2,WhatsApp,MCI-10205
HCP-0206,Hemal,Chad,Cardiologist,C,6,Kolkata,West Bengal,East,Narayana Health,28,Phone,MCI-10206
HCP-0207,Yamini,Gera,Gastroenterologist,B,8,Hyderabad,Telangana,South,Global Hospital,36,WhatsApp,MCI-10207
HCP-0208,Balveer,Kota,Pulmonist,C,8,Lucknow,Uttar Pradesh,North,,31,Clinic,MCI-10208
HCP-0209,Raksha,Sarna,Cardiologist,C,8,Bhopal,Madhya Pradesh,West,Wellness Clinic,12,Hospital,MCI-10209
HCP-0210,Nathan,Patla,Cardiologist,C,8,Bengaluru,Karnataka,South,AIIMS,11,Clinic,MCI-10210
HCP-0211,Kashish,Mandal,Cardiologist,A,4,Lucknow,Uttar Pradesh,North,Sunrise Clinic,30,Clinic,MCI-10211
HCP-0212,Lila,Rege,Pulmonist,A,3,Pune,Maharashtra,West,Max Healthcare,35,Phone,MCI-10212
HCP-0213,Hamsini,Ben,Pulmonist,B,8,Chennai,Tamil Nadu,South,Manipal Hospital,23,Clinic,MCI-10213
HCP-0214,Gaurika,Bhatti,Pulmonist,B,5,Kolkata,West Bengal,East,,37,Clinic,MCI-10214
HCP-0215,Forum,Chandra,Gastroenterologist,B,4,Kochi,Kerala,South,,19,Clinic,MCI-10215
HCP-0216,Libni,Mander,GP,C,8,Kochi,Kerala,South,,38,Clinic,MCI-10216
HCP-0217,Zayyan,Doctor,GP,B,6,Mumbai,Maharashtra,West,AIIMS,39,Clinic,MCI-10217
HCP-0218,Gauri,Bumb,Pulmonist,A,3,Kolkata,West Bengal,East,,23,Clinic,MCI-10218
HCP-0219,Lohit,Palla,GP,B,5,Mumbai,Maharashtra,West,Global Hospital,18,WhatsApp,MCI-10219
HCP-0220,Dayita,Ramanathan,Diabetologist,B,3,Kolkata,West Bengal,East,Global Hospital,23,Phone,MCI-10220
HCP-0221,Kai,Chad,Gastroenterologist,C,7,Jaipur,Rajasthan,North,Kokilaben Hospital,15,Hospital,MCI-10221
HCP-0222,Dayita,Puri,Consultant_Physician,B,6,Hyderabad,Telangana,South,,5,Clinic,MCI-10222
